"","Bottle Code","Year","Experiment","Location","Plot","Cut Trt","Var Trt","Cuts","Variety","Sample Timing","Sample Type","Harvest Point","Sample ID","Site","Paddock","Sample","Treatment","...9","...10","...11","Study","PlotNum","Main Treatment","SubPlot Treatment","...7","...8"
"14","220013","2022","RALLF","Rosemount","1202","2","5","4 cuts","RR4","~ May 24","Quadrat Sample",1,"220013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","220014","2022","RALLF","Rosemount","1203","2","4","4 cuts","RR3","~ May 24","Quadrat Sample",1,"220014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","220015","2022","RALLF","Rosemount","1204","2","2","4 cuts","HX4","~ May 24","Quadrat Sample",1,"220015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","220016","2022","RALLF","Rosemount","1205","2","3","4 cuts","HX5","~ May 24","Quadrat Sample",1,"220016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","220017","2022","RALLF","Rosemount","1206","2","1","4 cuts","HX3","~ May 24","Quadrat Sample",1,"220017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","220018","2022","RALLF","Rosemount","1207","1","3","5 cuts","HX5","~ May 24","Quadrat Sample",1,"220018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","220019","2022","RALLF","Rosemount","1208","1","6","5 cuts","RR5","~ May 24","Quadrat Sample",1,"220019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","220020","2022","RALLF","Rosemount","1209","1","1","5 cuts","HX3","~ May 24","Quadrat Sample",1,"220020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","220021","2022","RALLF","Rosemount","1210","1","2","5 cuts","HX4","~ May 24","Quadrat Sample",1,"220021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","220022","2022","RALLF","Rosemount","1211","1","4","5 cuts","RR3","~ May 24","Quadrat Sample",1,"220022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","220023","2022","RALLF","Rosemount","1212","1","5","5 cuts","RR4","~ May 24","Quadrat Sample",1,"220023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","220024","2022","RALLF","Rosemount","1301","1","2","5 cuts","HX4","~ May 24","Quadrat Sample",1,"220024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","220025","2022","RALLF","Rosemount","1302","1","4","5 cuts","RR3","~ May 24","Quadrat Sample",1,"220025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","220026","2022","RALLF","Rosemount","1303","1","6","5 cuts","RR5","~ May 24","Quadrat Sample",1,"220026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","220027","2022","RALLF","Rosemount","1304","1","1","5 cuts","HX3","~ May 24","Quadrat Sample",1,"220027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","220028","2022","RALLF","Rosemount","1305","1","3","5 cuts","HX5","~ May 24","Quadrat Sample",1,"220028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","220029","2022","RALLF","Rosemount","1306","1","5","5 cuts","RR4","~ May 24","Quadrat Sample",1,"220029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","220030","2022","RALLF","Rosemount","1307","2","4","4 cuts","RR3","~ May 24","Quadrat Sample",1,"220030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","220031","2022","RALLF","Rosemount","1308","2","2","4 cuts","HX4","~ May 24","Quadrat Sample",1,"220031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","220032","2022","RALLF","Rosemount","1309","2","1","4 cuts","HX3","~ May 24","Quadrat Sample",1,"220032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","220033","2022","RALLF","Rosemount","1310","2","5","4 cuts","RR4","~ May 24","Quadrat Sample",1,"220033",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","220034","2022","RALLF","Rosemount","1311","2","6","4 cuts","RR5","~ May 24","Quadrat Sample",1,"220034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","220035","2022","RALLF","Rosemount","1312","2","3","4 cuts","HX5","~ May 24","Quadrat Sample",1,"220035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","220036","2022","RALLF","Rosemount","1401","2","2","4 cuts","HX4","~ May 24","Quadrat Sample",1,"220036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","220037","2022","RALLF","Rosemount","1402","2","3","4 cuts","HX5","~ May 24","Quadrat Sample",1,"220037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","220038","2022","RALLF","Rosemount","1403","2","5","4 cuts","RR4","~ May 24","Quadrat Sample",1,"220038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","220039","2022","RALLF","Rosemount","1404","2","4","4 cuts","RR3","~ May 24","Quadrat Sample",1,"220039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","220040","2022","RALLF","Rosemount","1405","2","1","4 cuts","HX3","~ May 24","Quadrat Sample",1,"220040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","220041","2022","RALLF","Rosemount","1406","2","6","4 cuts","RR5","~ May 24","Quadrat Sample",1,"220041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","220042","2022","RALLF","Rosemount","1407","1","4","5 cuts","RR3","~ May 24","Quadrat Sample",1,"220042",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","220043","2022","RALLF","Rosemount","1408","1","2","5 cuts","HX4","~ May 24","Quadrat Sample",1,"220043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","220044","2022","RALLF","Rosemount","1409","1","5","5 cuts","RR4","~ May 24","Quadrat Sample",1,"220044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","220045","2022","RALLF","Rosemount","1410","1","1","5 cuts","HX3","~ May 24","Quadrat Sample",1,"220045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","220046","2022","RALLF","Rosemount","1411","1","6","5 cuts","RR5","~ May 24","Quadrat Sample",1,"220046",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","220047","2022","RALLF","Rosemount","1412","1","3","5 cuts","HX5","~ May 24","Quadrat Sample",1,"220047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","220048","2022","RALLF","St. Paul","2101","2","1","4 cuts","HX3","~ May 24","Quadrat Sample",1,"220048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","220049","2022","RALLF","St. Paul","2102","2","6","4 cuts","RR5","~ May 24","Quadrat Sample",1,"220049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","220050","2022","RALLF","St. Paul","2103","2","4","4 cuts","RR3","~ May 24","Quadrat Sample",1,"220050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","220051","2022","RALLF","St. Paul","2104","2","3","4 cuts","HX5","~ May 24","Quadrat Sample",1,"220051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","220052","2022","RALLF","St. Paul","2105","2","2","4 cuts","HX4","~ May 24","Quadrat Sample",1,"220052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","220053","2022","RALLF","St. Paul","2106","2","5","4 cuts","RR4","~ May 24","Quadrat Sample",1,"220053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","220054","2022","RALLF","St. Paul","2107","1","4","5 cuts","RR3","~ May 24","Quadrat Sample",1,"220054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","220055","2022","RALLF","St. Paul","2108","1","1","5 cuts","HX3","~ May 24","Quadrat Sample",1,"220055",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","220056","2022","RALLF","St. Paul","2109","1","2","5 cuts","HX4","~ May 24","Quadrat Sample",1,"220056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","220057","2022","RALLF","St. Paul","2110","1","3","5 cuts","HX5","~ May 24","Quadrat Sample",1,"220057",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","220058","2022","RALLF","St. Paul","2111","1","5","5 cuts","RR4","~ May 24","Quadrat Sample",1,"220058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","220059","2022","RALLF","St. Paul","2112","1","6","5 cuts","RR5","~ May 24","Quadrat Sample",1,"220059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","220060","2022","RALLF","St. Paul","2201","2","2","4 cuts","HX4","~ May 24","Quadrat Sample",1,"220060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","220061","2022","RALLF","St. Paul","2202","2","4","4 cuts","RR3","~ May 24","Quadrat Sample",1,"220061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","220062","2022","RALLF","St. Paul","2203","2","5","4 cuts","RR4","~ May 24","Quadrat Sample",1,"220062",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","220063","2022","RALLF","St. Paul","2204","2","3","4 cuts","HX5","~ May 24","Quadrat Sample",1,"220063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","220064","2022","RALLF","St. Paul","2205","2","1","4 cuts","HX3","~ May 24","Quadrat Sample",1,"220064",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","220065","2022","RALLF","St. Paul","2206","2","6","4 cuts","RR5","~ May 24","Quadrat Sample",1,"220065",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","220066","2022","RALLF","St. Paul","2207","1","2","5 cuts","HX4","~ May 24","Quadrat Sample",1,"220066",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","220067","2022","RALLF","St. Paul","2208","1","3","5 cuts","HX5","~ May 24","Quadrat Sample",1,"220067",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","220068","2022","RALLF","St. Paul","2209","1","4","5 cuts","RR3","~ May 24","Quadrat Sample",1,"220068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","220069","2022","RALLF","St. Paul","2210","1","5","5 cuts","RR4","~ May 24","Quadrat Sample",1,"220069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","220070","2022","RALLF","St. Paul","2211","1","6","5 cuts","RR5","~ May 24","Quadrat Sample",1,"220070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","220071","2022","RALLF","St. Paul","2212","1","1","5 cuts","HX3","~ May 24","Quadrat Sample",1,"220071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","220072","2022","RALLF","St. Paul","2301","1","2","5 cuts","HX4","~ May 24","Quadrat Sample",1,"220072",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","220073","2022","RALLF","St. Paul","2302","1","3","5 cuts","HX5","~ May 24","Quadrat Sample",1,"220073",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","220074","2022","RALLF","St. Paul","2303","1","1","5 cuts","HX3","~ May 24","Quadrat Sample",1,"220074",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","220075","2022","RALLF","St. Paul","2304","1","6","5 cuts","RR5","~ May 24","Quadrat Sample",1,"220075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","220076","2022","RALLF","St. Paul","2305","1","5","5 cuts","RR4","~ May 24","Quadrat Sample",1,"220076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","220077","2022","RALLF","St. Paul","2306","1","4","5 cuts","RR3","~ May 24","Quadrat Sample",1,"220077",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","220078","2022","RALLF","St. Paul","2307","2","2","4 cuts","HX4","~ May 24","Quadrat Sample",1,"220078",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","220079","2022","RALLF","St. Paul","2308","2","5","4 cuts","RR4","~ May 24","Quadrat Sample",1,"220079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","220080","2022","RALLF","St. Paul","2309","2","1","4 cuts","HX3","~ May 24","Quadrat Sample",1,"220080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","220081","2022","RALLF","St. Paul","2310","2","4","4 cuts","RR3","~ May 24","Quadrat Sample",1,"220081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","220082","2022","RALLF","St. Paul","2311","2","6","4 cuts","RR5","~ May 24","Quadrat Sample",1,"220082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","220083","2022","RALLF","St. Paul","2312","2","3","4 cuts","HX5","~ May 24","Quadrat Sample",1,"220083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","220084","2022","RALLF","St. Paul","2401","2","6","4 cuts","RR5","~ May 24","Quadrat Sample",1,"220084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","220085","2022","RALLF","St. Paul","2402","2","4","4 cuts","RR3","~ May 24","Quadrat Sample",1,"220085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","220086","2022","RALLF","St. Paul","2403","2","2","4 cuts","HX4","~ May 24","Quadrat Sample",1,"220086",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","220087","2022","RALLF","St. Paul","2404","2","3","4 cuts","HX5","~ May 24","Quadrat Sample",1,"220087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","220088","2022","RALLF","St. Paul","2405","2","5","4 cuts","RR4","~ May 24","Quadrat Sample",1,"220088",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","220089","2022","RALLF","St. Paul","2406","2","1","4 cuts","HX3","~ May 24","Quadrat Sample",1,"220089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","220090","2022","RALLF","St. Paul","2407","1","1","5 cuts","HX3","~ May 24","Quadrat Sample",1,"220090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","220091","2022","RALLF","St. Paul","2408","1","4","5 cuts","RR3","~ May 24","Quadrat Sample",1,"220091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","220092","2022","RALLF","St. Paul","2409","1","2","5 cuts","HX4","~ May 24","Quadrat Sample",1,"220092",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","220093","2022","RALLF","St. Paul","2410","1","6","5 cuts","RR5","~ May 24","Quadrat Sample",1,"220093",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","220094","2022","RALLF","St. Paul","2411","1","5","5 cuts","RR4","~ May 24","Quadrat Sample",1,"220094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","220095","2022","RALLF","St. Paul","2412","1","3","5 cuts","HX5","~ May 24","Quadrat Sample",1,"220095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","220096","2022","RALLF","Rosemount","1107","1","5","5 cuts","RR4","~ June 28","Quadrat Sample",2,"220096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","220097","2022","RALLF","Rosemount","1108","1","3","5 cuts","HX5","~ June 28","Quadrat Sample",2,"220097",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","220098","2022","RALLF","Rosemount","1109","1","2","5 cuts","HX4","~ June 28","Quadrat Sample",2,"220098",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","220099","2022","RALLF","Rosemount","1110","1","4","5 cuts","RR3","~ June 28","Quadrat Sample",2,"220099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","220100","2022","RALLF","Rosemount","1111","1","6","5 cuts","RR5","~ June 28","Quadrat Sample",2,"220100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","220101","2022","RALLF","Rosemount","1112","1","1","5 cuts","HX3","~ June 28","Quadrat Sample",2,"220101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","220102","2022","RALLF","Rosemount","1207","1","3","5 cuts","HX5","~ June 28","Quadrat Sample",2,"220102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","220103","2022","RALLF","Rosemount","1208","1","6","5 cuts","RR5","~ June 28","Quadrat Sample",2,"220103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","220104","2022","RALLF","Rosemount","1209","1","1","5 cuts","HX3","~ June 28","Quadrat Sample",2,"220104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","220105","2022","RALLF","Rosemount","1210","1","2","5 cuts","HX4","~ June 28","Quadrat Sample",2,"220105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","220106","2022","RALLF","Rosemount","1211","1","4","5 cuts","RR3","~ June 28","Quadrat Sample",2,"220106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","220107","2022","RALLF","Rosemount","1212","1","5","5 cuts","RR4","~ June 28","Quadrat Sample",2,"220107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","220108","2022","RALLF","Rosemount","1301","1","2","5 cuts","HX4","~ June 28","Quadrat Sample",2,"220108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","220109","2022","RALLF","Rosemount","1302","1","4","5 cuts","RR3","~ June 28","Quadrat Sample",2,"220109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","220110","2022","RALLF","Rosemount","1303","1","6","5 cuts","RR5","~ June 28","Quadrat Sample",2,"220110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","220111","2022","RALLF","Rosemount","1304","1","1","5 cuts","HX3","~ June 28","Quadrat Sample",2,"220111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","220112","2022","RALLF","Rosemount","1305","1","3","5 cuts","HX5","~ June 28","Quadrat Sample",2,"220112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","220113","2022","RALLF","Rosemount","1306","1","5","5 cuts","RR4","~ June 28","Quadrat Sample",2,"220113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","220114","2022","RALLF","Rosemount","1407","1","4","5 cuts","RR3","~ June 28","Quadrat Sample",2,"220114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","220115","2022","RALLF","Rosemount","1408","1","2","5 cuts","HX4","~ June 28","Quadrat Sample",2,"220115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","220116","2022","RALLF","Rosemount","1409","1","5","5 cuts","RR4","~ June 28","Quadrat Sample",2,"220116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","220117","2022","RALLF","Rosemount","1410","1","1","5 cuts","HX3","~ June 28","Quadrat Sample",2,"220117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","220118","2022","RALLF","Rosemount","1411","1","6","5 cuts","RR5","~ June 28","Quadrat Sample",2,"220118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","220119","2022","RALLF","Rosemount","1412","1","3","5 cuts","HX5","~ June 28","Quadrat Sample",2,"220119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","220120","2022","RALLF","St. Paul","2107","1","4","5 cuts","RR3","~ June 28","Quadrat Sample",2,"220120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","220121","2022","RALLF","St. Paul","2108","1","1","5 cuts","HX3","~ June 28","Quadrat Sample",2,"220121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","220122","2022","RALLF","St. Paul","2109","1","2","5 cuts","HX4","~ June 28","Quadrat Sample",2,"220122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","220123","2022","RALLF","St. Paul","2110","1","3","5 cuts","HX5","~ June 28","Quadrat Sample",2,"220123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","220124","2022","RALLF","St. Paul","2111","1","5","5 cuts","RR4","~ June 28","Quadrat Sample",2,"220124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","220125","2022","RALLF","St. Paul","2112","1","6","5 cuts","RR5","~ June 28","Quadrat Sample",2,"220125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","220126","2022","RALLF","St. Paul","2207","1","2","5 cuts","HX4","~ June 28","Quadrat Sample",2,"220126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","220127","2022","RALLF","St. Paul","2208","1","3","5 cuts","HX5","~ June 28","Quadrat Sample",2,"220127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","220128","2022","RALLF","St. Paul","2209","1","4","5 cuts","RR3","~ June 28","Quadrat Sample",2,"220128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","220129","2022","RALLF","St. Paul","2210","1","5","5 cuts","RR4","~ June 28","Quadrat Sample",2,"220129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","220130","2022","RALLF","St. Paul","2211","1","6","5 cuts","RR5","~ June 28","Quadrat Sample",2,"220130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","220131","2022","RALLF","St. Paul","2212","1","1","5 cuts","HX3","~ June 28","Quadrat Sample",2,"220131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","220132","2022","RALLF","St. Paul","2301","1","2","5 cuts","HX4","~ June 28","Quadrat Sample",2,"220132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","220133","2022","RALLF","St. Paul","2302","1","3","5 cuts","HX5","~ June 28","Quadrat Sample",2,"220133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","220134","2022","RALLF","St. Paul","2303","1","1","5 cuts","HX3","~ June 28","Quadrat Sample",2,"220134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","220135","2022","RALLF","St. Paul","2304","1","6","5 cuts","RR5","~ June 28","Quadrat Sample",2,"220135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","220136","2022","RALLF","St. Paul","2305","1","5","5 cuts","RR4","~ June 28","Quadrat Sample",2,"220136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","220137","2022","RALLF","St. Paul","2306","1","4","5 cuts","RR3","~ June 28","Quadrat Sample",2,"220137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","220138","2022","RALLF","St. Paul","2407","1","1","5 cuts","HX3","~ June 28","Quadrat Sample",2,"220138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","220139","2022","RALLF","St. Paul","2408","1","4","5 cuts","RR3","~ June 28","Quadrat Sample",2,"220139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","220140","2022","RALLF","St. Paul","2409","1","2","5 cuts","HX4","~ June 28","Quadrat Sample",2,"220140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
