column,description,,,,,,,
score,"witner survival score where 1=no damage, 5=dead plant",,,,,,,
2025,,Rosemount,1406,RR5,45 day,,,
2025,,Rosemount,1407,RR3,35 day,,,
2025,,Rosemount,1408,HX4,35 day,,,
2025,,Rosemount,1409,RR4,35 day,,,
2025,,Rosemount,1410,HX3,35 day,,,
2025,,Rosemount,1411,RR5,35 day,,,
2025,,Rosemount,1412,HX5,35 day,,,
2025,2025-04-22,St. Paul,2101,HX3,45 day,1,60,19
2025,2025-04-22,St. Paul,2102,RR5,45 day,2,50,29
2025,2025-04-22,St. Paul,2103,RR3,45 day,1,65,19
2025,2025-04-22,St. Paul,2104,HX5,45 day,2,50,22
2025,2025-04-22,St. Paul,2105,HX4,45 day,1,70,29
2025,2025-04-22,St. Paul,2106,RR4,45 day,1,60,16
2025,2025-04-22,St. Paul,2107,RR3,35 day,1,75,27
2025,2025-04-22,St. Paul,2108,HX3,35 day,1,65,35
2025,2025-04-22,St. Paul,2109,HX4,35 day,2,60,31
2025,2025-04-22,St. Paul,2110,HX5,35 day,3,50,19
2025,2025-04-22,St. Paul,2111,RR4,35 day,2,60,19
2025,2025-04-22,St. Paul,2112,RR5,35 day,2,60,17
2025,2025-04-22,St. Paul,2201,HX4,45 day,1,70,31
2025,2025-04-22,St. Paul,2202,RR3,45 day,1,70,24
2025,2025-04-22,St. Paul,2203,RR4,45 day,1,70,16
2025,2025-04-22,St. Paul,2204,HX5,45 day,2,50,13
2025,2025-04-22,St. Paul,2205,HX3,45 day,1,65,24
2025,2025-04-22,St. Paul,2206,RR5,45 day,1,65,13
2025,2025-04-22,St. Paul,2207,HX4,35 day,1,70,29
2025,2025-04-22,St. Paul,2208,HX5,35 day,2,50,16
2025,2025-04-22,St. Paul,2209,RR3,35 day,2,60,20
2025,2025-04-22,St. Paul,2210,RR4,35 day,3,50,24
2025,2025-04-22,St. Paul,2211,RR5,35 day,3,50,16
2025,2025-04-22,St. Paul,2212,HX3,35 day,1,70,41
2025,2025-04-22,St. Paul,2301,HX4,35 day,1,70,38
2025,2025-04-22,St. Paul,2302,HX5,35 day,2,60,39
2025,2025-04-22,St. Paul,2303,HX3,35 day,2,60,28
2025,2025-04-22,St. Paul,2304,RR5,35 day,3.5,45,21
2025,2025-04-22,St. Paul,2305,RR4,35 day,2,60,35
2025,2025-04-22,St. Paul,2306,RR3,35 day,1,70,23
2025,2025-04-22,St. Paul,2307,HX4,45 day,1,70,38
2025,2025-04-22,St. Paul,2308,RR4,45 day,1,60,51
2025,2025-04-22,St. Paul,2309,HX3,45 day,1,70,32
2025,2025-04-22,St. Paul,2310,RR3,45 day,1,60,31
2025,2025-04-22,St. Paul,2311,RR5,45 day,2,55,23
2025,2025-04-22,St. Paul,2312,HX5,45 day,1,65,29
2025,2025-04-22,St. Paul,2401,RR5,45 day,1,70,15
2025,2025-04-22,St. Paul,2402,RR3,45 day,1,70,21
2025,2025-04-22,St. Paul,2403,HX4,45 day,1,70,30
2025,2025-04-22,St. Paul,2404,HX5,45 day,2,50,34
2025,2025-04-22,St. Paul,2405,RR4,45 day,2,60,14
2025,2025-04-22,St. Paul,2406,HX3,45 day,1,70,25
2025,2025-04-22,St. Paul,2407,HX3,35 day,1,70,29
2025,2025-04-22,St. Paul,2408,RR3,35 day,2,65,25
2025,2025-04-22,St. Paul,2409,HX4,35 day,1,70,23
2025,2025-04-22,St. Paul,2410,RR5,35 day,3,60,16
2025,2025-04-22,St. Paul,2411,RR4,35 day,2,70,22
2025,2025-04-22,St. Paul,2412,HX5,35 day,1,70,34
